"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Eswar\Desktop\Final\frontend\src\App.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Eswar\Desktop\Final\frontend\src\App.js", "JavaScript", 24, 0, 0, 5, 29
"c:\Users\Eswar\Desktop\Final\frontend\src\components\Sidebar.js", "JavaScript", 68, 0, 0, 2, 70
"c:\Users\Eswar\Desktop\Final\frontend\src\index.css", "CSS", 0, 150, 0, 27, 177
"c:\Users\Eswar\Desktop\Final\frontend\src\index.js", "JavaScript", 23, 0, 0, 1, 24
"c:\Users\Eswar\Desktop\Final\frontend\src\pages\Clients\Clients.js", "JavaScript", 64, 0, 0, 8, 72
"c:\Users\Eswar\Desktop\Final\frontend\src\pages\History\History.js", "JavaScript", 65, 0, 1, 9, 75
"c:\Users\Eswar\Desktop\Final\frontend\src\pages\Progress\Graph.js", "JavaScript", 51, 0, 0, 6, 57
"c:\Users\Eswar\Desktop\Final\frontend\src\pages\Progress\InProgress.js", "JavaScript", 396, 0, 3, 26, 425
"c:\Users\Eswar\Desktop\Final\frontend\src\pages\Progress\Progress.css", "CSS", 0, 5, 0, 1, 6
"c:\Users\Eswar\Desktop\Final\frontend\src\pages\Progress\Progress.js", "JavaScript", 347, 0, 6, 18, 371
"Total", "-", 1038, 155, 10, 104, 1307